IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
149.129.8.215,443,TRUE,SJC,North America,San Jose,101 ms,483 kB/s
47.57.245.232,443,TRUE,SJC,North America,San Jose,81 ms,153 kB/s
47.57.233.126,443,TRUE,SJC,North America,San Jose,68 ms,147 kB/s
8.219.40.37,2083,TRUE,SIN,Asia Pacific,Singapore,99 ms,16518 kB/s
47.236.232.148,2087,TRUE,SIN,Asia Pacific,Singapore,284 ms,6745 kB/s
8.219.237.250,2083,TRUE,SIN,Asia Pacific,Singapore,272 ms,6191 kB/s
8.222.169.222,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,6163 kB/s
47.237.11.182,2053,TRUE,SIN,Asia Pacific,Singapore,279 ms,5929 kB/s
8.219.117.198,8443,TRUE,SIN,Asia Pacific,Singapore,271 ms,5906 kB/s
8.219.237.250,2053,TRUE,SIN,Asia Pacific,Singapore,276 ms,5900 kB/s
47.236.10.182,2087,TRUE,SIN,Asia Pacific,Singapore,296 ms,5687 kB/s
47.236.125.62,2087,TRUE,NRT,Asia Pacific,Tokyo,364 ms,2357 kB/s
47.90.141.204,443,TRUE,LAX,North America,Los Angeles,239 ms,969 kB/s
154.17.21.134,18446,TRUE,LAX,North America,Los Angeles,167 ms,7720 kB/s
154.17.4.191,35378,TRUE,LAX,North America,Los Angeles,163 ms,7480 kB/s
154.17.26.175,8443,TRUE,LAX,North America,Los Angeles,180 ms,6629 kB/s
154.17.19.203,32826,TRUE,LAX,North America,Los Angeles,168 ms,2101 kB/s
47.238.36.250,80,TRUE,KUL,Asia Pacific,Kuala Lumpur,59 ms,3948 kB/s
8.218.52.115,2083,TRUE,HKG,Asia Pacific,Hong Kong,78 ms,22040 kB/s
47.76.214.139,2053,TRUE,HKG,Asia Pacific,Hong Kong,79 ms,18160 kB/s
47.76.227.40,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,17700 kB/s
8.217.66.3,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,16702 kB/s
47.76.192.24,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,16467 kB/s
47.76.37.57,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,16308 kB/s
47.242.59.216,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,15678 kB/s
47.242.202.230,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,15523 kB/s
47.76.94.15,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,15453 kB/s
8.217.149.28,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,14276 kB/s
4.255.56.137,443,TRUE,IAD,North America,Ashburn,282 ms,3221 kB/s
4.255.56.138,443,TRUE,IAD,North America,Ashburn,293 ms,2249 kB/s
20.240.254.247,8443,TRUE,ARN,Europe,Stockholm,302 ms,1385 kB/s
20.83.149.174,443,TRUE,IAD,North America,Ashburn,284 ms,1258 kB/s
