IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.74.155.26,80,false,SIN,Asia Pacific,Singapore,95 ms,22732 kB/s
47.76.37.57,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,21772 kB/s
47.76.37.57,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,21425 kB/s
47.242.17.250,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,20453 kB/s
8.218.65.171,8080,false,HKG,Asia Pacific,Hong Kong,76 ms,19073 kB/s
8.210.175.109,2052,false,HKG,Asia Pacific,Hong Kong,55 ms,17835 kB/s
8.217.149.28,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,17678 kB/s
8.218.181.189,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,17243 kB/s
47.76.29.115,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,15586 kB/s
8.218.65.237,2052,false,HKG,Asia Pacific,Hong Kong,68 ms,14379 kB/s
47.76.214.139,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,14003 kB/s
47.238.131.39,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,13535 kB/s
8.218.18.132,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,13190 kB/s
8.218.11.90,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,12980 kB/s
8.218.65.171,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,12954 kB/s
8.218.228.152,2052,false,HKG,Asia Pacific,Hong Kong,80 ms,12940 kB/s
47.238.131.39,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,12745 kB/s
8.218.74.119,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,12412 kB/s
47.242.119.104,80,false,HKG,Asia Pacific,Hong Kong,55 ms,12213 kB/s
47.238.6.102,80,false,HKG,Asia Pacific,Hong Kong,64 ms,11955 kB/s
8.218.18.132,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,11683 kB/s
47.76.227.128,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,11513 kB/s
8.218.181.189,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,11013 kB/s
47.238.131.39,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,10452 kB/s
47.242.119.104,2052,false,HKG,Asia Pacific,Hong Kong,53 ms,10073 kB/s
47.238.35.50,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,9965 kB/s
8.218.3.12,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,9930 kB/s
8.219.93.5,8080,false,SIN,Asia Pacific,Singapore,240 ms,8979 kB/s
47.237.95.146,2095,false,SIN,Asia Pacific,Singapore,219 ms,8809 kB/s
47.236.17.193,2052,false,SIN,Asia Pacific,Singapore,214 ms,8792 kB/s
8.218.65.237,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,8589 kB/s
47.236.171.205,8880,false,SIN,Asia Pacific,Singapore,212 ms,8528 kB/s
47.237.95.13,2095,false,SIN,Asia Pacific,Singapore,225 ms,8486 kB/s
47.236.189.92,2086,false,SIN,Asia Pacific,Singapore,212 ms,8433 kB/s
8.219.142.191,8080,false,SIN,Asia Pacific,Singapore,237 ms,8398 kB/s
47.76.227.128,8880,false,HKG,Asia Pacific,Hong Kong,71 ms,8365 kB/s
8.219.163.195,2086,false,SIN,Asia Pacific,Singapore,220 ms,8363 kB/s
8.217.85.14,80,false,HKG,Asia Pacific,Hong Kong,63 ms,8361 kB/s
8.218.181.189,2095,false,HKG,Asia Pacific,Hong Kong,69 ms,8349 kB/s
8.210.175.109,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,8307 kB/s
8.219.163.195,2052,false,SIN,Asia Pacific,Singapore,211 ms,8250 kB/s
47.236.171.205,80,false,SIN,Asia Pacific,Singapore,216 ms,8190 kB/s
47.238.6.102,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,8180 kB/s
47.76.26.26,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,8177 kB/s
47.237.10.1,2082,false,SIN,Asia Pacific,Singapore,221 ms,8129 kB/s
47.238.6.58,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,8085 kB/s
8.219.49.65,2052,false,SIN,Asia Pacific,Singapore,220 ms,8042 kB/s
47.76.26.26,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,7940 kB/s
8.219.113.232,2052,false,SIN,Asia Pacific,Singapore,215 ms,7939 kB/s
8.218.207.169,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,7863 kB/s
47.76.77.103,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,7834 kB/s
8.218.207.169,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,7795 kB/s
47.238.35.50,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,7795 kB/s
47.238.6.102,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,7784 kB/s
8.219.210.57,8080,false,SIN,Asia Pacific,Singapore,248 ms,7669 kB/s
47.237.86.185,2086,false,SIN,Asia Pacific,Singapore,224 ms,7660 kB/s
8.219.210.64,2082,false,SIN,Asia Pacific,Singapore,214 ms,7634 kB/s
8.219.126.240,2082,false,SIN,Asia Pacific,Singapore,225 ms,7627 kB/s
47.237.95.146,2052,false,SIN,Asia Pacific,Singapore,223 ms,7626 kB/s
47.238.6.58,2052,false,HKG,Asia Pacific,Hong Kong,69 ms,7545 kB/s
8.218.3.198,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,7522 kB/s
8.219.104.37,2095,false,SIN,Asia Pacific,Singapore,256 ms,7498 kB/s
47.236.166.131,2052,false,SIN,Asia Pacific,Singapore,221 ms,7393 kB/s
8.218.65.171,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,7338 kB/s
8.218.11.90,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,7326 kB/s
8.218.3.12,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,7246 kB/s
47.236.97.90,8080,false,SIN,Asia Pacific,Singapore,219 ms,7160 kB/s
47.236.164.215,2052,false,SIN,Asia Pacific,Singapore,228 ms,7135 kB/s
47.237.0.31,2082,false,SIN,Asia Pacific,Singapore,226 ms,7119 kB/s
47.237.95.146,2086,false,SIN,Asia Pacific,Singapore,220 ms,7091 kB/s
8.219.170.232,2052,false,SIN,Asia Pacific,Singapore,214 ms,7079 kB/s
8.219.163.195,2082,false,SIN,Asia Pacific,Singapore,215 ms,7043 kB/s
47.236.97.90,2086,false,SIN,Asia Pacific,Singapore,243 ms,6938 kB/s
47.237.0.31,2086,false,SIN,Asia Pacific,Singapore,227 ms,6908 kB/s
47.236.237.90,2052,false,SIN,Asia Pacific,Singapore,220 ms,6862 kB/s
8.219.177.205,8080,false,SIN,Asia Pacific,Singapore,221 ms,6844 kB/s
8.219.0.162,2052,false,SIN,Asia Pacific,Singapore,225 ms,6790 kB/s
47.237.81.112,8880,false,SIN,Asia Pacific,Singapore,225 ms,6762 kB/s
8.219.200.145,8080,false,SIN,Asia Pacific,Singapore,218 ms,6735 kB/s
47.236.117.48,80,false,SIN,Asia Pacific,Singapore,251 ms,6702 kB/s
47.236.145.85,2052,false,SIN,Asia Pacific,Singapore,228 ms,6689 kB/s
47.237.95.146,8080,false,SIN,Asia Pacific,Singapore,219 ms,6653 kB/s
8.219.210.64,2052,false,SIN,Asia Pacific,Singapore,222 ms,6650 kB/s
8.219.126.240,2086,false,SIN,Asia Pacific,Singapore,224 ms,6599 kB/s
8.219.93.5,2052,false,SIN,Asia Pacific,Singapore,215 ms,6584 kB/s
47.236.144.196,2082,false,SIN,Asia Pacific,Singapore,222 ms,6560 kB/s
8.219.126.240,80,false,SIN,Asia Pacific,Singapore,229 ms,6541 kB/s
47.236.117.48,8080,false,SIN,Asia Pacific,Singapore,228 ms,6534 kB/s
